Input_ID,Standard_ID,Organism
GCF_001987775.1,GCF_001987775.1,Bordetella pertussis 
GCF_001987795.1,GCF_001987795.1,Bordetella pertussis 
GCF_001987815.1,GCF_001987815.1,Bordetella pertussis 
GCF_001987835.1,GCF_001987835.1,Bordetella pertussis 
GCF_001987855.1,GCF_001987855.1,Bordetella pertussis 
GCF_001987875.1,GCF_001987875.1,Bordetella pertussis 
GCF_001987895.1,GCF_001987895.1,Bordetella pertussis 
GCF_001987915.1,GCF_001987915.1,Bordetella pertussis 
GCF_001987935.1,GCF_001987935.1,Bordetella pertussis 
GCF_001987955.1,GCF_001987955.1,Bordetella pertussis 
GCF_001987975.1,GCF_001987975.1,Bordetella pertussis 
GCF_001987995.1,GCF_001987995.1,Bordetella pertussis 
GCF_001988015.1,GCF_001988015.1,Bordetella pertussis 
GCF_001988035.1,GCF_001988035.1,Bordetella pertussis 
GCF_001988055.1,GCF_001988055.1,Bordetella pertussis 
GCF_001988075.1,GCF_001988075.1,Bordetella pertussis 
GCF_001988095.1,GCF_001988095.1,Bordetella pertussis 
GCF_001988115.1,GCF_001988115.1,Bordetella pertussis 
GCF_001988135.1,GCF_001988135.1,Bordetella pertussis 
GCF_001988155.1,GCF_001988155.1,Bordetella pertussis 
GCF_001988175.1,GCF_001988175.1,Bordetella pertussis 
GCF_001988195.1,GCF_001988195.1,Bordetella pertussis 
GCF_001988215.1,GCF_001988215.1,Bordetella pertussis 
GCF_001988235.1,GCF_001988235.1,Bordetella pertussis 
GCF_001988255.1,GCF_001988255.1,Bordetella pertussis 
GCF_001988275.1,GCF_001988275.1,Bordetella pertussis 
GCF_001988295.1,GCF_001988295.1,Bordetella pertussis 
GCF_001988315.1,GCF_001988315.1,Bordetella pertussis 
GCF_001988335.1,GCF_001988335.1,Bordetella pertussis 
GCF_001988355.1,GCF_001988355.1,Bordetella pertussis 
GCF_001988375.1,GCF_001988375.1,Bordetella pertussis 
GCF_001988395.1,GCF_001988395.1,Bordetella pertussis 
GCF_001988415.1,GCF_001988415.1,Bordetella pertussis 
GCF_001988435.1,GCF_001988435.1,Bordetella pertussis 
GCF_001988455.1,GCF_001988455.1,Bordetella pertussis 
GCF_001988475.1,GCF_001988475.1,Bordetella pertussis 
GCF_001988495.1,GCF_001988495.1,Bordetella pertussis 
GCF_001988515.1,GCF_001988515.1,Bordetella pertussis 
GCF_001988535.1,GCF_001988535.1,Bordetella pertussis 
GCF_001988555.1,GCF_001988555.1,Bordetella pertussis 
GCF_001988575.1,GCF_001988575.1,Bordetella pertussis 
GCF_001988595.1,GCF_001988595.1,Bordetella pertussis 
GCF_001988615.1,GCF_001988615.1,Bordetella pertussis 
GCF_001988635.1,GCF_001988635.1,Bordetella pertussis 
GCF_001988655.1,GCF_001988655.1,Bordetella pertussis 
GCF_001988675.1,GCF_001988675.1,Bordetella pertussis 
GCF_001988695.1,GCF_001988695.1,Bordetella pertussis 
GCF_001988715.1,GCF_001988715.1,Bordetella pertussis 
GCF_001988735.1,GCF_001988735.1,Bordetella pertussis 
GCF_001988755.1,GCF_001988755.1,Bordetella pertussis 
GCF_001988795.1,GCF_001988795.1,Bordetella pertussis 
GCF_001988775.1,GCF_001988775.1,Bordetella pertussis 
GCF_001988815.1,GCF_001988815.1,Bordetella pertussis 
GCF_001988835.1,GCF_001988835.1,Bordetella pertussis 
GCF_001988855.1,GCF_001988855.1,Bordetella pertussis 
GCF_001988875.1,GCF_001988875.1,Bordetella pertussis 
GCF_001988895.1,GCF_001988895.1,Bordetella pertussis 
GCF_001988915.1,GCF_001988915.1,Bordetella pertussis 
GCF_001989015.1,GCF_001989015.1,Bordetella pertussis 
GCF_001988995.1,GCF_001988995.1,Bordetella pertussis 
GCF_001989035.1,GCF_001989035.1,Bordetella pertussis 
GCF_001989055.1,GCF_001989055.1,Bordetella pertussis 
GCF_001989075.1,GCF_001989075.1,Bordetella pertussis 
GCF_001989095.1,GCF_001989095.1,Bordetella pertussis 
GCF_001989115.1,GCF_001989115.1,Bordetella pertussis 
GCF_001989135.1,GCF_001989135.1,Bordetella pertussis 
GCF_001989155.1,GCF_001989155.1,Bordetella pertussis 
GCF_001989175.1,GCF_001989175.1,Bordetella pertussis 
GCF_001989215.1,GCF_001989215.1,Bordetella pertussis 
GCF_001989195.1,GCF_001989195.1,Bordetella pertussis 
GCF_001989235.1,GCF_001989235.1,Bordetella pertussis 
GCF_001989255.1,GCF_001989255.1,Bordetella pertussis 
GCF_001989275.1,GCF_001989275.1,Bordetella pertussis 
GCF_001989295.1,GCF_001989295.1,Bordetella pertussis 
GCF_001989315.1,GCF_001989315.1,Bordetella pertussis 
GCF_001989335.1,GCF_001989335.1,Bordetella pertussis 
GCF_002018515.1,GCF_002018515.1,Bordetella pertussis 
GCF_002021795.1,GCF_002021795.1,Bordetella pertussis 
GCF_002024325.1,GCF_002024325.1,Campylobacter jejuni 
GCF_002068675.1,GCF_002068675.1,Bordetella pertussis 
GCF_002068975.1,GCF_002068975.1,Bordetella pertussis 
GCF_002069155.1,GCF_002069155.1,Bordetella pertussis 
GCF_002208115.1,GCF_002208115.1,Bdellovibrio bacteriovorus 
GCF_002101355.1,GCF_002101355.1,Campylobacter jejuni 
GCF_002209005.1,GCF_002209005.1,Campylobacter jejuni 
GCF_002209025.1,GCF_002209025.1,Campylobacter jejuni 
GCF_002209045.1,GCF_002209045.1,Campylobacter jejuni 
GCF_002209065.1,GCF_002209065.1,Campylobacter jejuni 
GCF_002214785.1,GCF_002214785.1,Campylobacter jejuni 
GCF_002222575.1,GCF_002222575.1,Helicobacter pylori 
GCF_002224325.1,GCF_002224325.1,Campylobacter jejuni 
GCF_002234455.1,GCF_002234455.1,Campylobacter jejuni 
GCF_002224385.1,GCF_002224385.1,Campylobacter jejuni 
GCF_002238375.1,GCF_002238375.1,Campylobacter jejuni 
GCF_002238355.1,GCF_002238355.1,Campylobacter jejuni 
GCF_002240435.1,GCF_002240435.1,Bordetella pertussis 
GCF_002240495.1,GCF_002240495.1,Bordetella pertussis 
GCF_002240475.1,GCF_002240475.1,Bordetella pertussis 
GCF_002240515.1,GCF_002240515.1,Bordetella pertussis 
GCF_002285955.1,GCF_002285955.1,Bordetella pertussis 
GCF_002285975.1,GCF_002285975.1,Bordetella pertussis 
GCF_002285995.1,GCF_002285995.1,Bordetella pertussis 
GCF_002286015.1,GCF_002286015.1,Bordetella pertussis 
GCF_002286035.1,GCF_002286035.1,Bordetella pertussis 
GCF_002286055.1,GCF_002286055.1,Bordetella pertussis 
GCF_002286075.1,GCF_002286075.1,Bordetella pertussis 
GCF_002286095.1,GCF_002286095.1,Bordetella pertussis 
GCF_002286115.1,GCF_002286115.1,Bordetella pertussis 
GCF_002286135.1,GCF_002286135.1,Bordetella pertussis 
GCF_002286155.1,GCF_002286155.1,Bordetella pertussis 
GCF_002286175.1,GCF_002286175.1,Bordetella pertussis 
GCF_002286315.1,GCF_002286315.1,Bordetella pertussis 
GCF_002286295.1,GCF_002286295.1,Bordetella pertussis 
GCF_002286335.1,GCF_002286335.1,Bordetella pertussis 
GCF_002286355.1,GCF_002286355.1,Bordetella pertussis 
GCF_002286375.1,GCF_002286375.1,Bordetella pertussis 
GCF_002310915.1,GCF_002310915.1,Bordetella pertussis 
GCF_002356595.1,GCF_002356595.1,Helicobacter pylori 
GCF_002407125.1,GCF_002407125.1,Campylobacter jejuni 
GCF_002442615.1,GCF_002442615.1,Bordetella pertussis 
GCF_002442635.1,GCF_002442635.1,Bordetella pertussis 
GCF_002442655.1,GCF_002442655.1,Bordetella pertussis 
GCF_002442675.1,GCF_002442675.1,Bordetella pertussis 
GCF_002442695.1,GCF_002442695.1,Bordetella pertussis 
GCF_002442715.1,GCF_002442715.1,Bordetella pertussis 
GCF_002442735.1,GCF_002442735.1,Bordetella pertussis 
GCF_002442755.1,GCF_002442755.1,Bordetella pertussis 
GCF_002442775.1,GCF_002442775.1,Bordetella pertussis 
GCF_002442795.1,GCF_002442795.1,Bordetella pertussis 
GCF_002442815.1,GCF_002442815.1,Bordetella pertussis 
GCF_002587105.1,GCF_002587105.1,Campylobacter jejuni 
GCF_002587225.1,GCF_002587225.1,Campylobacter jejuni 
GCF_002859205.1,GCF_002859205.1,Bordetella pertussis 
GCF_002859565.1,GCF_002859565.1,Bordetella pertussis 
GCF_002859585.1,GCF_002859585.1,Bordetella pertussis 
GCF_002859605.1,GCF_002859605.1,Bordetella pertussis 
GCF_002859625.1,GCF_002859625.1,Bordetella pertussis 
GCF_002859645.1,GCF_002859645.1,Bordetella pertussis 
GCF_002859665.1,GCF_002859665.1,Bordetella pertussis 
GCF_002859685.1,GCF_002859685.1,Bordetella pertussis 
GCF_002859705.1,GCF_002859705.1,Bordetella pertussis 
GCF_002859725.1,GCF_002859725.1,Bordetella pertussis 
GCF_002859745.1,GCF_002859745.1,Bordetella pertussis 
GCF_002859765.1,GCF_002859765.1,Bordetella pertussis 
GCF_002859785.1,GCF_002859785.1,Bordetella pertussis 
GCF_002859805.1,GCF_002859805.1,Bordetella pertussis 
GCF_002859825.1,GCF_002859825.1,Bordetella pertussis 
GCF_002892665.1,GCF_002892665.1,Bordetella pertussis 
GCF_002892685.1,GCF_002892685.1,Bordetella pertussis 
GCF_002892705.1,GCF_002892705.1,Bordetella pertussis 
GCF_002892725.1,GCF_002892725.1,Bordetella pertussis 
GCF_002892745.1,GCF_002892745.1,Bordetella pertussis 
GCF_002892765.1,GCF_002892765.1,Bordetella pertussis 
GCF_002906495.1,GCF_002906495.1,Helicobacter pylori 
GCF_002906515.1,GCF_002906515.1,Helicobacter pylori 
GCF_002906535.1,GCF_002906535.1,Helicobacter pylori 
GCF_002906555.1,GCF_002906555.1,Helicobacter pylori 
GCF_002951975.1,GCF_002951975.1,Helicobacter pylori 
GCF_002952335.1,GCF_002952335.1,Helicobacter pylori 
GCF_002952355.1,GCF_002952355.1,Helicobacter pylori 
GCF_002952455.1,GCF_002952455.1,Helicobacter pylori 
GCF_002952375.1,GCF_002952375.1,Helicobacter pylori 
GCF_002952475.1,GCF_002952475.1,Helicobacter pylori 
GCF_002952495.1,GCF_002952495.1,Helicobacter pylori 
GCF_002952515.1,GCF_002952515.1,Helicobacter pylori 
GCF_002952555.1,GCF_002952555.1,Helicobacter pylori 
GCF_002952535.1,GCF_002952535.1,Helicobacter pylori 
GCF_002952575.1,GCF_002952575.1,Helicobacter pylori 
GCF_002952595.1,GCF_002952595.1,Helicobacter pylori 
GCF_002952615.1,GCF_002952615.1,Helicobacter pylori 
GCF_002952635.1,GCF_002952635.1,Helicobacter pylori 
GCF_002952655.1,GCF_002952655.1,Helicobacter pylori 
GCF_002952675.1,GCF_002952675.1,Helicobacter pylori 
GCF_002953555.1,GCF_002953555.1,Helicobacter pylori 
GCF_002983705.1,GCF_002983705.1,Helicobacter pylori 
GCF_003050665.1,GCF_003050665.1,Helicobacter pylori 
GCF_003030185.1,GCF_003030185.1,Campylobacter jejuni 
GCF_003060745.1,GCF_003060745.1,Campylobacter jejuni 
GCF_003060725.1,GCF_003060725.1,Campylobacter jejuni 
GCF_003060765.1,GCF_003060765.1,Campylobacter jejuni 
GCF_003060785.1,GCF_003060785.1,Campylobacter jejuni 
GCF_003355025.1,GCF_003355025.1,Bordetella pertussis 
GCF_003355065.1,GCF_003355065.1,Bordetella pertussis 
GCF_003355045.1,GCF_003355045.1,Bordetella pertussis 
GCF_003355085.1,GCF_003355085.1,Bordetella pertussis 
GCF_003368045.1,GCF_003368045.1,Campylobacter jejuni 
GCF_003368065.1,GCF_003368065.1,Campylobacter jejuni 
GCF_003368085.1,GCF_003368085.1,Campylobacter jejuni 
GCF_003368105.1,GCF_003368105.1,Campylobacter jejuni 
GCF_003368125.1,GCF_003368125.1,Campylobacter jejuni 
GCF_003368145.1,GCF_003368145.1,Campylobacter jejuni 
GCF_003368165.1,GCF_003368165.1,Campylobacter jejuni 
GCF_003368185.1,GCF_003368185.1,Campylobacter jejuni 
GCF_003368205.1,GCF_003368205.1,Campylobacter jejuni 
GCF_003368225.1,GCF_003368225.1,Campylobacter jejuni 
GCF_003368245.1,GCF_003368245.1,Campylobacter jejuni 
GCF_003431345.1,GCF_003431345.1,Bordetella pertussis 
GCF_003574175.1,GCF_003574175.1,Geobacter sulfurreducens 
GCF_003431425.1,GCF_003431425.1,Bordetella pertussis 
GCF_003852095.1,GCF_003852095.1,Saccharolobus solfataricus 
GCF_003636855.2,GCF_003636855.2,Helicobacter pylori 
GCF_003852115.1,GCF_003852115.1,Saccharolobus solfataricus 
GCF_003640585.1,GCF_003640585.1,Helicobacter pylori 
GCF_003852135.1,GCF_003852135.1,Saccharolobus solfataricus 
GCF_003852155.1,GCF_003852155.1,Saccharolobus solfataricus 
GCF_003852175.1,GCF_003852175.1,Saccharolobus solfataricus 
GCF_003852195.1,GCF_003852195.1,Saccharolobus solfataricus 
GCF_003852215.1,GCF_003852215.1,Saccharolobus solfataricus 
GCF_003855475.1,GCF_003855475.1,Helicobacter pylori 
GCF_003855595.1,GCF_003855595.1,Bordetella pertussis 
GCF_003860305.1,GCF_003860305.1,Bordetella pertussis 
GCF_003939085.1,GCF_003939085.1,Helicobacter pylori 
GCF_003957395.1,GCF_003957395.1,Helicobacter pylori 
GCF_003991035.1,GCF_003991035.1,Bordetella pertussis 
GCF_003991055.1,GCF_003991055.1,Bordetella pertussis 
GCF_003991095.1,GCF_003991095.1,Bordetella pertussis 
GCF_004006155.1,GCF_004006155.1,Bordetella pertussis 
GCF_004006615.1,GCF_004006615.1,Bordetella pertussis 
GCF_004007095.1,GCF_004007095.1,Bordetella pertussis 
GCF_004007155.1,GCF_004007155.1,Bordetella pertussis 
GCF_004007215.1,GCF_004007215.1,Bordetella pertussis 
GCF_004007275.1,GCF_004007275.1,Bordetella pertussis 
GCF_004007335.1,GCF_004007335.1,Bordetella pertussis 
GCF_004007415.1,GCF_004007415.1,Bordetella pertussis 
GCF_004007475.1,GCF_004007475.1,Bordetella pertussis 
GCF_004007535.1,GCF_004007535.1,Bordetella pertussis 
GCF_004007625.1,GCF_004007625.1,Bordetella pertussis 
GCF_004008415.1,GCF_004008415.1,Bordetella pertussis 
GCF_004008475.1,GCF_004008475.1,Bordetella pertussis 
GCF_004008555.1,GCF_004008555.1,Bordetella pertussis 
GCF_004008655.1,GCF_004008655.1,Bordetella pertussis 
GCF_004008595.1,GCF_004008595.1,Bordetella pertussis 
GCF_004008715.1,GCF_004008715.1,Bordetella pertussis 
GCF_004008795.1,GCF_004008795.1,Bordetella pertussis 
GCF_004008855.1,GCF_004008855.1,Bordetella pertussis 
GCF_004008915.1,GCF_004008915.1,Bordetella pertussis 
GCF_004008935.1,GCF_004008935.1,Bordetella pertussis 
GCF_004008955.1,GCF_004008955.1,Bordetella pertussis 
GCF_004008975.1,GCF_004008975.1,Bordetella pertussis 
GCF_004008995.1,GCF_004008995.1,Bordetella pertussis 
GCF_004009015.1,GCF_004009015.1,Bordetella pertussis 
GCF_004009035.1,GCF_004009035.1,Bordetella pertussis 
GCF_004009055.1,GCF_004009055.1,Bordetella pertussis 
GCF_004009075.1,GCF_004009075.1,Bordetella pertussis 
GCF_004009095.1,GCF_004009095.1,Bordetella pertussis 
GCF_004009115.1,GCF_004009115.1,Bordetella pertussis 
GCF_004009135.1,GCF_004009135.1,Bordetella pertussis 
GCF_004009155.1,GCF_004009155.1,Bordetella pertussis 
GCF_004009175.1,GCF_004009175.1,Bordetella pertussis 
GCF_004009195.1,GCF_004009195.1,Bordetella pertussis 
GCF_004009215.1,GCF_004009215.1,Bordetella pertussis 
GCF_004009235.1,GCF_004009235.1,Bordetella pertussis 
GCF_004009255.1,GCF_004009255.1,Bordetella pertussis 
GCF_004009275.1,GCF_004009275.1,Bordetella pertussis 
GCF_004009295.1,GCF_004009295.1,Bordetella pertussis 
GCF_004009315.1,GCF_004009315.1,Bordetella pertussis 
GCF_004009335.1,GCF_004009335.1,Bordetella pertussis 
GCF_004009355.1,GCF_004009355.1,Bordetella pertussis 
GCF_004009375.1,GCF_004009375.1,Bordetella pertussis 
GCF_004009395.1,GCF_004009395.1,Bordetella pertussis 
GCF_004009415.1,GCF_004009415.1,Bordetella pertussis 
GCF_004009435.1,GCF_004009435.1,Bordetella pertussis 
GCF_004009455.1,GCF_004009455.1,Bordetella pertussis 
GCF_004009475.1,GCF_004009475.1,Bordetella pertussis 
GCF_004009495.1,GCF_004009495.1,Bordetella pertussis 
GCF_004009515.1,GCF_004009515.1,Bordetella pertussis 
GCF_004009535.1,GCF_004009535.1,Bordetella pertussis 
GCF_004009555.1,GCF_004009555.1,Bordetella pertussis 
GCF_004009575.1,GCF_004009575.1,Bordetella pertussis 
GCF_004009595.1,GCF_004009595.1,Bordetella pertussis 
GCF_004009635.1,GCF_004009635.1,Bordetella pertussis 
GCF_004009655.1,GCF_004009655.1,Bordetella pertussis 
GCF_004009675.1,GCF_004009675.1,Bordetella pertussis 
GCF_004009695.1,GCF_004009695.1,Bordetella pertussis 
GCF_004009715.1,GCF_004009715.1,Bordetella pertussis 
GCF_004009735.1,GCF_004009735.1,Bordetella pertussis 
GCF_004009775.1,GCF_004009775.1,Bordetella pertussis 
GCF_004009795.1,GCF_004009795.1,Bordetella pertussis 
GCF_004009815.1,GCF_004009815.1,Bordetella pertussis 
GCF_004088075.1,GCF_004088075.1,Helicobacter pylori 
GCF_004088155.1,GCF_004088155.1,Helicobacter pylori 
GCF_004295525.1,GCF_004295525.1,Helicobacter pylori 
GCF_004295545.1,GCF_004295545.1,Helicobacter pylori 
GCF_004634585.1,GCF_004634585.1,Bordetella pertussis 
GCF_004634605.1,GCF_004634605.1,Bordetella pertussis 
GCF_004634625.1,GCF_004634625.1,Bordetella pertussis 
GCF_004634645.1,GCF_004634645.1,Bordetella pertussis 
GCF_004634665.1,GCF_004634665.1,Bordetella pertussis 
GCF_004634685.1,GCF_004634685.1,Bordetella pertussis 
GCF_004634705.1,GCF_004634705.1,Bordetella pertussis 
GCF_004634725.1,GCF_004634725.1,Bordetella pertussis 
GCF_004634745.1,GCF_004634745.1,Bordetella pertussis 
GCF_004634765.1,GCF_004634765.1,Bordetella pertussis 
GCF_004634785.1,GCF_004634785.1,Bordetella pertussis 
GCF_004634805.1,GCF_004634805.1,Bordetella pertussis 
GCF_004634825.1,GCF_004634825.1,Bordetella pertussis 
GCF_004634845.1,GCF_004634845.1,Bordetella pertussis 
GCF_004634865.1,GCF_004634865.1,Bordetella pertussis 
GCF_004634885.1,GCF_004634885.1,Bordetella pertussis 
GCF_004634905.1,GCF_004634905.1,Bordetella pertussis 
GCF_004634925.1,GCF_004634925.1,Bordetella pertussis 
GCF_004635085.1,GCF_004635085.1,Bordetella pertussis 
GCF_004635105.1,GCF_004635105.1,Bordetella pertussis 
GCF_004635125.1,GCF_004635125.1,Bordetella pertussis 
GCF_004635145.1,GCF_004635145.1,Bordetella pertussis 
GCF_004635185.1,GCF_004635185.1,Bordetella pertussis 
GCF_004635165.1,GCF_004635165.1,Bordetella pertussis 
GCF_004635205.1,GCF_004635205.1,Bordetella pertussis 
GCF_004635225.1,GCF_004635225.1,Bordetella pertussis 
GCF_004635245.1,GCF_004635245.1,Bordetella pertussis 
GCF_004635265.1,GCF_004635265.1,Bordetella pertussis 
GCF_004635285.1,GCF_004635285.1,Bordetella pertussis 
GCF_004635305.1,GCF_004635305.1,Bordetella pertussis 
GCF_004635325.1,GCF_004635325.1,Bordetella pertussis 
GCF_004635345.1,GCF_004635345.1,Bordetella pertussis 
GCF_004635365.1,GCF_004635365.1,Bordetella pertussis 
GCF_004635385.1,GCF_004635385.1,Bordetella pertussis 
GCF_004635405.1,GCF_004635405.1,Bordetella pertussis 
GCF_004635425.1,GCF_004635425.1,Bordetella pertussis 
GCF_004635445.1,GCF_004635445.1,Bordetella pertussis 
GCF_004635465.1,GCF_004635465.1,Bordetella pertussis 
GCF_004635485.1,GCF_004635485.1,Bordetella pertussis 
GCF_004635505.1,GCF_004635505.1,Bordetella pertussis 
GCF_004635525.1,GCF_004635525.1,Bordetella pertussis 
GCF_004635545.1,GCF_004635545.1,Bordetella pertussis 
GCF_004635565.1,GCF_004635565.1,Bordetella pertussis 
GCF_004635585.1,GCF_004635585.1,Bordetella pertussis 
GCF_004635605.1,GCF_004635605.1,Bordetella pertussis 
GCF_004635625.1,GCF_004635625.1,Bordetella pertussis 
GCF_004635645.1,GCF_004635645.1,Bordetella pertussis 
GCF_004635665.1,GCF_004635665.1,Bordetella pertussis 
GCF_004635685.1,GCF_004635685.1,Bordetella pertussis 
GCF_004635705.1,GCF_004635705.1,Bordetella pertussis 
GCF_004635725.1,GCF_004635725.1,Bordetella pertussis 
GCF_004635745.1,GCF_004635745.1,Bordetella pertussis 
GCF_004635765.1,GCF_004635765.1,Bordetella pertussis 
GCF_004635785.1,GCF_004635785.1,Bordetella pertussis 
GCF_004635805.1,GCF_004635805.1,Bordetella pertussis 
GCF_004635825.1,GCF_004635825.1,Bordetella pertussis 
GCF_004635845.1,GCF_004635845.1,Bordetella pertussis 
GCF_004635865.1,GCF_004635865.1,Bordetella pertussis 
GCF_004635885.1,GCF_004635885.1,Bordetella pertussis 
GCF_004635905.1,GCF_004635905.1,Bordetella pertussis 
GCF_004635925.1,GCF_004635925.1,Bordetella pertussis 
GCF_004635945.1,GCF_004635945.1,Bordetella pertussis 
GCF_004635965.1,GCF_004635965.1,Bordetella pertussis 
GCF_004635985.1,GCF_004635985.1,Bordetella pertussis 
GCF_004636005.1,GCF_004636005.1,Bordetella pertussis 
GCF_004636025.1,GCF_004636025.1,Bordetella pertussis 
GCF_004636045.1,GCF_004636045.1,Bordetella pertussis 
GCF_004636065.1,GCF_004636065.1,Bordetella pertussis 
GCF_004636085.1,GCF_004636085.1,Bordetella pertussis 
GCF_004636105.1,GCF_004636105.1,Bordetella pertussis 
GCF_004636125.1,GCF_004636125.1,Bordetella pertussis 
GCF_004636145.1,GCF_004636145.1,Bordetella pertussis 
GCF_004636165.1,GCF_004636165.1,Bordetella pertussis 
GCF_004636205.1,GCF_004636205.1,Bordetella pertussis 
GCF_004636185.1,GCF_004636185.1,Bordetella pertussis 
GCF_004636225.1,GCF_004636225.1,Bordetella pertussis 
GCF_004636245.1,GCF_004636245.1,Bordetella pertussis 
GCF_004636265.1,GCF_004636265.1,Bordetella pertussis 
GCF_004636285.1,GCF_004636285.1,Bordetella pertussis 
GCF_004636305.1,GCF_004636305.1,Bordetella pertussis 
GCF_004636325.1,GCF_004636325.1,Bordetella pertussis 
GCF_004636345.1,GCF_004636345.1,Bordetella pertussis 
GCF_004636365.1,GCF_004636365.1,Bordetella pertussis 
GCF_004636405.1,GCF_004636405.1,Bordetella pertussis 
GCF_004636385.1,GCF_004636385.1,Bordetella pertussis 
GCF_004636425.1,GCF_004636425.1,Bordetella pertussis 
GCF_004636445.1,GCF_004636445.1,Bordetella pertussis 
GCF_004636465.1,GCF_004636465.1,Bordetella pertussis 
GCF_004636485.1,GCF_004636485.1,Bordetella pertussis 
GCF_004636505.1,GCF_004636505.1,Bordetella pertussis 
GCF_004636525.1,GCF_004636525.1,Bordetella pertussis 
GCF_004636545.1,GCF_004636545.1,Bordetella pertussis 
GCF_004636565.1,GCF_004636565.1,Bordetella pertussis 
GCF_004636785.1,GCF_004636785.1,Bordetella pertussis 
GCF_004636805.1,GCF_004636805.1,Bordetella pertussis 
GCF_004636825.1,GCF_004636825.1,Bordetella pertussis 
GCF_004636845.1,GCF_004636845.1,Bordetella pertussis 
GCF_004636865.1,GCF_004636865.1,Bordetella pertussis 
GCF_004636885.1,GCF_004636885.1,Bordetella pertussis 
GCF_004636905.1,GCF_004636905.1,Bordetella pertussis 
GCF_004636925.1,GCF_004636925.1,Bordetella pertussis 
GCF_004636945.1,GCF_004636945.1,Bordetella pertussis 
GCF_004636965.1,GCF_004636965.1,Bordetella pertussis 
GCF_004636985.1,GCF_004636985.1,Bordetella pertussis 
GCF_004637005.1,GCF_004637005.1,Bordetella pertussis 
GCF_004637025.1,GCF_004637025.1,Bordetella pertussis 
GCF_004637045.1,GCF_004637045.1,Bordetella pertussis 
GCF_004637065.1,GCF_004637065.1,Bordetella pertussis 
GCF_004637085.1,GCF_004637085.1,Bordetella pertussis 
GCF_004637105.1,GCF_004637105.1,Bordetella pertussis 
GCF_004637125.1,GCF_004637125.1,Bordetella pertussis 
GCF_004637145.1,GCF_004637145.1,Bordetella pertussis 
GCF_004637165.1,GCF_004637165.1,Bordetella pertussis 
GCF_004637185.1,GCF_004637185.1,Bordetella pertussis 
GCF_004637205.1,GCF_004637205.1,Bordetella pertussis 
GCF_004637225.1,GCF_004637225.1,Bordetella pertussis 
GCF_004637245.1,GCF_004637245.1,Bordetella pertussis 
GCF_004637265.1,GCF_004637265.1,Bordetella pertussis 
GCF_004771055.1,GCF_004771055.1,Bordetella pertussis 
GCF_006337265.1,GCF_006337265.1,Helicobacter pylori 
GCF_006337285.1,GCF_006337285.1,Helicobacter pylori 
GCF_006337305.1,GCF_006337305.1,Helicobacter pylori 
GCF_006337325.1,GCF_006337325.1,Helicobacter pylori 
GCF_006337345.1,GCF_006337345.1,Helicobacter pylori 
GCF_006337365.1,GCF_006337365.1,Helicobacter pylori 
GCF_006337385.1,GCF_006337385.1,Helicobacter pylori 
GCF_006337405.1,GCF_006337405.1,Helicobacter pylori 
GCF_006337425.1,GCF_006337425.1,Helicobacter pylori 
GCF_006337465.1,GCF_006337465.1,Helicobacter pylori 
GCF_006337445.1,GCF_006337445.1,Helicobacter pylori 
GCF_006337485.1,GCF_006337485.1,Helicobacter pylori 
GCF_006337745.1,GCF_006337745.1,Helicobacter pylori 
GCF_006337625.1,GCF_006337625.1,Helicobacter pylori 
GCF_006338045.1,GCF_006338045.1,Helicobacter pylori 
GCF_006337875.1,GCF_006337875.1,Helicobacter pylori 
GCF_006338145.1,GCF_006338145.1,Helicobacter pylori 
GCF_006338285.1,GCF_006338285.1,Helicobacter pylori 
GCF_006338415.1,GCF_006338415.1,Helicobacter pylori 
GCF_006338685.1,GCF_006338685.1,Helicobacter pylori 
GCF_006338545.1,GCF_006338545.1,Helicobacter pylori 
GCF_006338815.1,GCF_006338815.1,Helicobacter pylori 
GCF_006338945.1,GCF_006338945.1,Helicobacter pylori 
GCF_006339065.1,GCF_006339065.1,Helicobacter pylori 
GCF_006339235.1,GCF_006339235.1,Helicobacter pylori 
GCF_006339365.1,GCF_006339365.1,Helicobacter pylori 
GCF_006400955.1,GCF_006400955.1,Myxococcus xanthus 
GCF_006401635.1,GCF_006401635.1,Myxococcus xanthus 
GCF_006401215.1,GCF_006401215.1,Myxococcus xanthus 
GCF_006402015.1,GCF_006402015.1,Myxococcus xanthus 
GCF_006402415.1,GCF_006402415.1,Myxococcus xanthus 
GCF_006402735.1,GCF_006402735.1,Myxococcus xanthus 
GCF_007794935.1,GCF_007794935.1,Helicobacter pylori 
GCF_007836735.1,GCF_007836735.1,Helicobacter pylori 
GCF_007836855.1,GCF_007836855.1,Helicobacter pylori 
GCF_007843535.1,GCF_007843535.1,Helicobacter pylori 
GCF_007843715.1,GCF_007843715.1,Helicobacter pylori 
GCF_007843915.1,GCF_007843915.1,Helicobacter pylori 
GCF_007844035.1,GCF_007844035.1,Helicobacter pylori 
GCF_008326525.1,GCF_008326525.1,Helicobacter pylori 
GCF_007844055.1,GCF_007844055.1,Helicobacter pylori 
GCF_010692905.1,GCF_010692905.1,Haloferax volcanii 
GCF_008330005.1,GCF_008330005.1,Bordetella pertussis 
GCF_015654385.1,GCF_015654385.1,Saccharolobus solfataricus 
GCF_015775755.1,GCF_015775755.1,Myxococcus xanthus 
GCF_016698685.1,GCF_016698685.1,Myxococcus xanthus 
